year,GDP_JP,GDP_US,GDP_CN,P_JP,P_CN,P_US
1980,1127.88,2857.33,303.0,116.77,987.05,227.62
1981,1243.79,3207.03,288.7,117.62,1000.72,229.92
1982,1157.6,3343.8,284.6,118.45,1016.54,232.13
1983,1268.62,3634.03,305.43,119.27,1030.08,234.25
1984,1345.2,4037.65,314.23,120.05,1043.57,236.31
1985,1427.35,4339.0,310.13,120.8,1058.51,238.42
1986,2121.25,4579.63,300.92,121.45,1075.07,240.59
1987,2584.34,4855.25,327.73,122.03,1093.0,242.75
1988,3134.18,5236.43,408.66,122.55,1110.26,244.97
1989,3117.07,5641.6,458.18,123.03,1127.04,247.29
1990,3196.56,5963.13,396.59,123.44,1143.33,250.05
1991,3657.35,6158.13,413.21,123.93,1158.23,253.39
1992,3988.33,6520.33,492.15,124.37,1171.71,256.78
1993,4544.77,6858.55,617.43,124.77,1185.17,260.15
1994,4998.8,7287.25,561.69,125.12,1198.5,263.33
1995,5545.57,7639.75,731.0,125.44,1211.21,266.46
1996,4923.39,8073.13,860.47,125.71,1223.89,269.58
1997,4492.45,8577.55,957.99,126.01,1236.26,272.82
1998,4098.36,9062.83,1024.17,126.35,1247.61,276.02
1999,4635.98,9631.18,1088.35,126.59,1257.86,279.2
2000,4968.36,10250.95,1205.53,126.83,1267.43,282.3
2001,4374.71,10581.93,1333.65,127.13,1276.27,285.22
2002,4182.85,10929.1,1465.83,127.4,1284.53,288.02
2003,4519.56,11456.45,1656.96,127.63,1292.27,290.73
2004,4893.14,12217.18,1949.45,127.73,1299.88,293.39
2005,4831.47,13039.2,2290.02,127.75,1307.56,296.12
2006,4601.66,13815.6,2754.15,127.75,1314.48,298.93
2007,4579.75,14474.25,3555.66,127.76,1321.29,301.9
2008,5106.68,14769.85,4577.28,127.69,1328.02,304.72
2009,5289.49,14478.05,5088.99,127.55,1334.5,307.37
2010,5759.07,15048.98,6033.83,127.59,1340.91,309.74
2011,6233.15,15599.73,7492.21,127.83,1349.16,311.94
2012,6272.36,16253.95,8539.58,127.55,1359.22,314.17
2013,5212.33,16843.23,9624.93,127.33,1367.26,316.33
2014,4897.0,17550.68,10524.24,127.12,1376.46,318.62
2015,4444.93,18206.03,11113.51,126.98,1383.26,320.93
2016,5003.68,18695.1,11226.9,126.96,1392.32,323.22
2017,4930.84,19477.35,12265.33,126.75,1400.11,325.28
2018,5040.88,20533.08,13841.81,126.5,1405.41,327.02
2019,5118.0,21380.95,14340.6,126.22,1410.08,328.55
2020,5050.68,21060.45,14862.56,125.85,1412.12,331.26
2021,5011.87,23315.08,17759.31,125.51,1412.6,332.31
2022,4237.53,25462.73,17886.33,125.17,1411.75,333.53
2023,4230.86,26949.64,17700.9,124.62,1411.4,335.14
